Product ID,Combination code,Combination,Amount,Language
"12","","Color: Black/White/White, Size: Large","50","en"
"12","","Color: Black/White/White, Size: Medium","50","en"
"12","","Color: Black/White/White, Size: Small","50","en"
"12","","Color: Black/White/White, Size: X Large","50","en"
"12","","Color: Black/White/White, Size: XX Large","50","en"
"12","","Color: Dark Navy/White/White, Size: Small","50","en"
"12","","Color: Dark Navy/White/White, Size: Medium","50","en"
"12","","Color: Dark Navy/White/White, Size: Large","50","en"
"12","","Color: Dark Navy/White/White, Size: X Large","50","en"
"12","","Color: Dark Navy/White/White, Size: XX Large","50","en"
"12","","Color: White/Prime Green, Size: Small","50","en"
"12","","Color: White/Prime Green, Size: Medium","50","en"
"12","","Color: White/Prime Green, Size: Large","50","en"
"12","","Color: White/Prime Green, Size: X Large","50","en"
"12","","Color: White/Prime Green, Size: XX Large","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
"7","","","50","en"
