Product code,Language,Price,Lower limit,User group,Percentage discount
"ASITH3K0N1389","en","64.50","1","All","0"
"BRO120175559","en","139.30","1","All","0"
"BRO110186146","en","132.30","1","All","0"
"ASITHL2020146","en","79.50","1","All","0"
"ASITH110N9490","en","74.50","1","All","0"
"BRO110181057","en","139.30","1","All","0"
"BRO110186313","en","132.30","1","All","0"
"BRO120174068","en","139.30","1","All","0"
"BRO110183811","en","118.30","1","All","0"
"ASITH110N9301","en","74.50","1","All","0"
"ASITH430L2550","en","69.50","1","All","0"
"ASITH110N4623","en","74.50","1","All","0"
"ASITH109L1899","en","59.50","1","All","0"
"ASITHL3009099","en","84.50","1","All","0"
"BRO110181168","en","139.30","1","All","0"
"BRO120176587","en","118.30","1","All","0"
"ASIHN2018001","en","64.50","1","All","0"
"ASITH110N0150","en","74.50","1","All","0"
"BRO110182039","en","139.30","1","All","0"
"BRO110188002","en","118.30","1","All","0"
"ASITH3V3L2511","en","84.50","1","All","0"
"ASITHL7C22301","en","79.50","1","All","0"
"BRO110189713","en","195.30","1","All","0"
"BRO110183027","en","118.30","1","All","0"
"BRO120178302","en","118.30","1","All","0"
"BRO120174458","en","139.30","1","All","0"
"BRO110188702","en","118.30","1","All","0"
"BRO120160646","en","160.30","1","All","0"
"BRO120181624","en","125.30","1","All","0"
"BRO120183436","en","195.30","1","All","0"
"BRO110187413","en","125.30","1","All","0"
"BRO120182157","en","132.30","1","All","0"
"BRO120161124","en","132.30","1","All","0"
"BRO120181424","en","125.30","1","All","0"
"BRO120178635","en","118.30","1","All","0"
"BRO120182490","en","132.30","1","All","0"
"BRO120175052","en","139.30","1","All","0"
"ASITH430L5005","en","69.50","1","All","0"
"BRO110186468","en","132.30","1","All","0"
"ASITH3Q0Y0301","en","54.50","1","All","0"
"BRO110187613","en","125.30","1","All","0"
"ASITH471L6703","en","59.50","1","All","0"
"BRO120182657","en","132.30","1","All","0"
"BRO110168113","en","132.30","1","All","0"
"ASITH327Y4209","en","59.50","1","All","0"
"BRO110189668","en","195.30","1","All","0"
"BRO110182629","en","139.30","1","All","0"
"BRO120176051","en","118.30","1","All","0"
"ASITH3K0N2001","en","64.50","1","All","0"
"BRO110181813","en","139.30","1","All","0"
"BRO110167024","en","160.30","1","All","0"
"BRO120183802","en","195.30","1","All","0"
