Product code,Language,Price,Lower limit,User group,Percentage discount
"BRO120178302","en","169.00","1","All","0"
"BRO110183811","en","169.00","1","All","0"
"ASITH3V3L2511","en","169.00","1","All","0"
"BRO120182657","en","189.00","1","All","0"
"BRO120178635","en","169.00","1","All","0"
"ASITH430L5005","en","139.00","1","All","0"
"ASITHL7C22301","en","159.00","1","All","0"
"BRO110186146","en","189.00","1","All","0"
"ASITH3K0N1389","en","129.00","1","All","0"
"BRO120175052","en","199.00","1","All","0"
"BRO120174458","en","199.00","1","All","0"
"BRO120175559","en","199.00","1","All","0"
"BRO120176587","en","169.00","1","All","0"
"BRO120182490","en","189.00","1","All","0"
"ASITH430L2550","en","139.00","1","All","0"
"BRO110181813","en","199.00","1","All","0"
"BRO110182629","en","199.00","1","All","0"
"BRO120183436","en","279.00","1","All","0"
"BRO120176051","en","169.00","1","All","0"
"ASITH109L1899","en","119.00","1","All","0"
"ASITH110N4623","en","149.00","1","All","0"
"BRO120181624","en","179.00","1","All","0"
"BRO120182157","en","189.00","1","All","0"
"ASITH3Q0Y0301","en","109.00","1","All","0"
"ASITH3K0N2001","en","129.00","1","All","0"
"BRO110182039","en","199.00","1","All","0"
"BRO110186313","en","189.00","1","All","0"
"ASITH110N0150","en","149.00","1","All","0"
"BRO120183802","en","279.00","1","All","0"
"BRO110167024","en","229.00","1","All","0"
"BRO110181168","en","199.00","1","All","0"
"ASITH110N9490","en","149.00","1","All","0"
"BRO110168113","en","189.00","1","All","0"
"BRO110189668","en","279.00","1","All","0"
"BRO110188002","en","169.00","1","All","0"
"BRO110188702","en","169.00","1","All","0"
"BRO110187613","en","179.00","1","All","0"
"BRO110186468","en","189.00","1","All","0"
"BRO120174068","en","199.00","1","All","0"
"ASITHL2020146","en","159.00","1","All","0"
"BRO120161124","en","189.00","1","All","0"
"ASITH110N9301","en","149.00","1","All","0"
"BRO110189713","en","279.00","1","All","0"
"BRO110187413","en","53.70","1","All","0"
"ASITHL3009099","en","169.00","1","All","0"
"BRO120181424","en","179.00","1","All","0"
"ASITH3Q0Y0301","en","109.00","1","Registered user","50"
"ASITH327Y4209","en","119.00","1","All","0"
"BRO110183027","en","169.00","1","All","0"
"BRO120160646","en","229.00","1","All","0"
"BRO110181057","en","199.00","1","All","0"
"ASITH471L6703","en","119.00","1","All","0"
"ASIHN2018001","en","129.00","1","All","0"
"BRO110181057","en","199.00","1","Guest","30"
